state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Bihar,Manipur,-0.03653571963217208,736278.5,1.8144728824314733e-115,2.9752847264714842e-115,True
Assam,Rajasthan,-0.03646905807849204,916769.0,0.0,0.0,True
Kerala,Uttarakhand,-0.0363315696649029,1875574.5,0.0,0.0,True
Gujarat,Tamil Nadu,0.03625347688172516,2280146.0,0.347538409822414,0.35839898512936447,False
Kerala,Madhya Pradesh,-0.03625082324330225,1850672.0,0.0,0.0,True
Jharkhand,Tamil Nadu,0.03606162078259137,2335019.5,0.02989095324195751,0.031883683458088015,True
Bihar,Maharashtra,-0.03596930785080705,1059870.5,0.0,0.0,True
Kerala,West Bengal,-0.03548972095171298,1731434.0,0.0,0.0,True
Jammu and Kashmir,Telangana,0.035293639961100826,9565947.5,3.5770988185742823e-87,5.396309074877774e-87,True
Karnataka,Sikkim,0.035271634648797616,6672346.5,0.0,0.0,True
Odisha,Puducherry,0.034999999999999955,2127422.0,5.235016767845032e-25,6.741680130297992e-25,True
Ladakh,Odisha,-0.034999999999999955,443239.0,1.8317180331045405e-47,2.538443888396844e-47,True
Chhattisgarh,Kerala,0.03482781026640674,11204672.0,0.0,0.0,True
Bihar,Mizoram,-0.034783255229105185,920435.0,0.0,0.0,True
Arunachal Pradesh,Himachal Pradesh,-0.034534560644149184,2529262.5,3.139118429226889e-113,5.11560040318456e-113,True
Andhra Pradesh,Uttar Pradesh,-0.03408797616665782,1740021.0,0.0,0.0,True
Karnataka,Rajasthan,-0.03407649295175714,2322008.0,0.0,0.0,True
Haryana,Himachal Pradesh,-0.033846920967339836,5426872.0,5.268842666109039e-167,1.0741115550986766e-166,True
Andaman and Nicobar Islands,Himachal Pradesh,-0.033846920967339836,3222422.0,9.890765396018766e-166,2.000890470918739e-165,True
Nagaland,Rajasthan,0.033540285937534664,7616015.0,5.822988216999462e-211,1.3725615082927303e-210,True
Andhra Pradesh,Manipur,-0.033216783216783216,1157552.5,2.324048577067127e-71,3.4372483156623053e-71,True
Assam,Uttar Pradesh,-0.03301124669936232,596741.0,0.0,0.0,True
Bihar,Punjab,-0.03300758110403359,3281382.5,0.0,0.0,True
Assam,Sikkim,0.032879069522062716,3971456.0,0.0,0.0,True
Karnataka,Tamil Nadu,0.03265487774518853,4231325.0,0.1667201534667485,0.17431334857513509,False
Andhra Pradesh,Maharashtra,-0.032650371435418185,2500193.0,0.0,0.0,True
Chandigarh,Odisha,0.032486882576442895,9304815.5,0.0,0.0,True
Assam,Manipur,-0.03214005374948772,500619.5,1.0697629797400496e-55,1.5432646265102353e-55,True
Himachal Pradesh,Kerala,0.032083252537004635,9192488.0,1.3331357083481938e-180,2.896689934188668e-180,True
Andhra Pradesh,Sikkim,0.03180234005476722,8905183.0,0.0,0.0,True
Assam,Maharashtra,-0.031573641968122686,845587.5,0.0,0.0,True
Andhra Pradesh,Mizoram,-0.03146431881371632,1642109.5,2.7191037025669147e-272,8.298767369683994e-272,True
Bihar,Uttarakhand,-0.03134091443736688,2286188.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Telangana,-0.03128031235545682,920312.5,0.0,0.0,True
Bihar,Madhya Pradesh,-0.03126016801576623,2228790.5,0.0,0.0,True
Jharkhand,Rajasthan,-0.030669749914354297,1010831.5,0.0,0.0,True
Karnataka,Uttar Pradesh,-0.03061868157262742,1658020.5,0.0,0.0,True
Bihar,West Bengal,-0.030499065724176967,2157404.5,0.0,0.0,True
Gujarat,Rajasthan,-0.030477893815220508,1400135.0,0.0,0.0,True
Assam,Mizoram,-0.030387589346420822,586140.5,1.1249564662922943e-245,3.030494970420058e-245,True
Meghalaya,Telangana,-0.03036903409634785,1115486.5,0.0,0.0,True
Assam,Tamil Nadu,0.030262312618453628,2177552.0,0.015463049291240425,0.01666222454239785,True
Bihar,Chhattisgarh,-0.029837155038870723,3300442.0,0.0,0.0,True
Gujarat,Odisha,0.02976020142287477,4431337.0,0.0,0.0,True
Karnataka,Manipur,-0.029747488622752817,901404.0,2.208575761073301e-87,3.3413409795034467e-87,True
Andhra Pradesh,Punjab,-0.029688644688644725,5683960.5,1.0081074092758801e-218,2.45290650736251e-218,True
Jharkhand,Odisha,0.02956834532374098,4823273.0,0.0,0.0,True
Telangana,Tripura,0.02940471056989262,5548714.0,1.609554913611004e-172,3.3590711240577477e-172,True
Andhra Pradesh,Tamil Nadu,0.02918558315115813,5051036.0,0.04307868094689704,0.045673782208758305,True
Karnataka,Maharashtra,-0.029181076841387786,2205198.0,0.0,0.0,True
Assam,Punjab,-0.028611915221349225,2361065.5,1.8346063293203078e-141,3.3518067193118425e-141,True
Puducherry,Tamil Nadu,-0.028506724541149567,1258513.0,4.2890422567620674e-14,5.254325548887173e-14,True
Ladakh,Tamil Nadu,-0.028506724541149567,464682.0,6.588622288633702e-18,8.224095906379656e-18,True
Bihar,Sikkim,0.028483403639378353,6368679.5,0.0,0.0,True
Andhra Pradesh,Uttarakhand,-0.02802197802197802,4051188.0,2.3887949524547665e-286,7.644143847855253e-286,True
Karnataka,Mizoram,-0.027995024219685923,1460230.0,3.6782147006740453e-239,9.808572535130787e-239,True
Andhra Pradesh,Madhya Pradesh,-0.02794123160037737,4398666.0,0.0,0.0,True
Chandigarh,Rajasthan,-0.027751212661652383,3654951.0,0.0,0.0,True
Jharkhand,Uttar Pradesh,-0.027211938535224578,573402.5,0.0,0.0,True
Andhra Pradesh,West Bengal,-0.027180129308788104,3947707.5,0.0,0.0,True
Chandigarh,Dadra and Nagar Haveli and Daman and Diu,0.02710896323524649,4161941.0,6.941543082779661e-215,1.658432012537403e-214,True
Bihar,Himachal Pradesh,-0.02709259730946862,4161060.5,5.6644941110898315e-174,1.1868463851807266e-173,True
Gujarat,Uttar Pradesh,-0.02702008243609079,1002002.0,0.0,0.0,True
Assam,Uttarakhand,-0.02694524855468252,1652750.5,6.797973781700748e-196,1.5673930815449759e-195,True
Assam,Madhya Pradesh,-0.02686450213308187,1709222.0,1.1374240172324232e-286,3.661950494504387e-286,True
Andhra Pradesh,Chhattisgarh,-0.02651821862348186,5351463.0,1.0626029288035006e-242,2.84799160613324e-242,True
Jharkhand,Manipur,-0.026340745585349976,569226.5,2.943839297660452e-47,4.068971594672038e-47,True
Karnataka,Punjab,-0.026219350094614326,4260747.0,2.7064316252161097e-276,8.356701158562024e-276,True
Chandigarh,Meghalaya,0.026197684976137517,12339793.0,0.0,0.0,True
Karnataka,Odisha,0.02616160228633814,7306201.5,5.77213033799759e-230,1.4582224011783386e-229,True
Gujarat,Manipur,-0.026148889486216187,560891.5,2.0898448784596255e-49,2.9268915008665313e-49,True
Assam,West Bengal,-0.026103399841492604,1489937.5,6.919117315518063e-293,2.2551197176503317e-292,True
Puducherry,Sikkim,-0.02588996763754048,963130.0,4.703383997925347e-73,6.995455636350938e-73,True
Ladakh,Sikkim,-0.02588996763754048,239635.0,4.330480567704407e-110,6.949828996194307e-110,True
Bihar,Tamil Nadu,0.025866646735769265,3934574.5,0.20336874620864742,0.21221086560902339,False
Jharkhand,Maharashtra,-0.025774333803984945,781121.5,0.0,0.0,True
