state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Gujarat,Kerala,-0.06711472192036873,4104094.5,1.8585868200268355e-229,4.080661099320912e-229,True
Jammu and Kashmir,Tripura,0.06702165030413963,10078333.5,0.0,0.0,True
Kerala,Odisha,0.06669567008036295,10565792.0,1.6135606687802652e-240,3.678423746836237e-240,True
Andaman and Nicobar Islands,Kerala,-0.06582003600866446,2724237.5,3.0597132285485233e-140,5.386181570965596e-140,True
Dadra and Nagar Haveli and Daman and Diu,Jammu and Kashmir,-0.06569885490068142,780302.0,2.3529000811491445e-297,6.140243632823425e-297,True
Jammu and Kashmir,Karnataka,0.06521887756127968,10412585.5,0.0,0.0,True
Jammu and Kashmir,Uttarakhand,0.06508078326260144,11208121.5,0.0,0.0,True
Madhya Pradesh,Punjab,-0.06480131369140801,2773418.5,0.0,0.0,True
Chandigarh,Punjab,-0.06480131369140801,2408044.5,0.0,0.0,True
Andhra Pradesh,Arunachal Pradesh,-0.06457443312520539,2272175.0,0.0,0.0,True
Bihar,Punjab,-0.0644870489228697,2833045.5,0.0,0.0,True
Jammu and Kashmir,Rajasthan,0.06380015466933217,12251560.5,0.0,0.0,True
Chandigarh,Maharashtra,-0.06320709911261091,1511428.0,0.0,0.0,True
Madhya Pradesh,Maharashtra,-0.06320709911261091,1831709.0,0.0,0.0,True
Arunachal Pradesh,Sikkim,0.06318730840020943,5545253.5,0.0,0.0,True
Goa,Kerala,0.06300578812179655,7991573.0,7.076423292908396e-305,1.931409109761695e-304,True
Bihar,Maharashtra,-0.0628928343440726,2022535.0,0.0,0.0,True
Assam,Kerala,-0.06238360434571784,3912533.0,1.596227840104625e-215,3.3442097354304644e-215,True
Jammu and Kashmir,Mizoram,0.06051997245179064,5936207.0,6.10636776948007e-265,1.465035815661549e-264,True
Nagaland,Punjab,-0.059681351188476506,2163753.5,0.0,0.0,True
Punjab,West Bengal,0.05948296151254037,15142443.0,0.0,0.0,True
Assam,Ladakh,0.0586371073484591,1651702.5,5.93566320940469e-82,8.741880221771759e-82,True
Jammu and Kashmir,Manipur,0.05861779853874716,3885579.0,8.593650736902479e-149,1.5494612692293863e-148,True
Arunachal Pradesh,Telangana,0.05859875453102542,9610932.5,0.0,0.0,True
